nuclide,z,n,element,radius,radius_uncert,abundance,abundance_uncert,is_stable,half_life,half_life_uncert,isospin,decay_1,decay_1_pct,decay_1_pct_uncert,decay_2,decay_2_pct,decay_2_pct_uncert,decay_3,decay_3_pct,decay_3_pct_uncert,magnetic_dipole,magnetic_dipole_uncert,electric_quadrupole,electric_quadrupole_uncert,atomic_mass,atomic_mass_uncert,mass_excess,mass_excess_uncert
^{129}_{58}Ce71,58,71,Ce,,,,,FALSE,210,18,,EC+B+,1,,,,,,,,-0.65,0.04,1.32,0.13,128918102,30,-76287.504,27.945
^{130}_{58}Ce72,58,72,Ce,,,,,FALSE,1374,30,,EC+B+,1,,,,,,,,,,,,129914736,30,-79422.913,27.945
^{131}_{58}Ce73,58,73,Ce,,,,,FALSE,618,18,,EC+B+,1,,B+,0.11,0.03,,,,,,,,130914429.465,35.214,-79708.448,32.802
^{132}_{58}Ce74,58,74,Ce,,,,,FALSE,12636,396,,EC+B+,1,,,,,,,,,,,,131911466.226,21.907,-82468.688,20.407
^{133}_{58}Ce75,58,75,Ce,,,,,FALSE,5820,240,,EC+B+,1,,,,,,,,,,,,132911520.402,17.557,-82418.223,16.354
^{134}_{58}Ce76,58,76,Ce,,,,,FALSE,273024,3456,,EC,1,,,,,,,,,,,,133908928.142,21.886,-84832.898,20.387
^{135}_{58}Ce77,58,77,Ce,,,,,FALSE,63720,1080,,EC+B+,1,,,,,,,,,,,,134909160.662,11.021,-84616.308,10.266
^{136}_{58}Ce78,58,78,Ce,4.8739,0.0018,0.0018599999999999999,2e-5,TRUE,,,,2EC,,,,,,,,,,,,,135907129.256,0.348,-86508.55,0.324
^{137}_{58}Ce79,58,79,Ce,,,,,FALSE,32400,1080,,EC+B+,1,,,,,,,,0.96,0.04,,,136907762.416,0.386,-85918.765,0.36
^{138}_{58}Ce80,58,80,Ce,4.8737,0.0018,0.00251,2e-5,FALSE,138850474288205e10,,,2EC,1,,,,,,,,,,,,137905994.18,0.536,-87565.867,0.499
^{139}_{58}Ce81,58,81,Ce,,,,,FALSE,11891232,2592,,EC,1,,,,,,,,1.06,0.04,,,138906647.029,2.242,-86957.741,2.089
^{140}_{58}Ce82,58,82,Ce,4.8771,0.0018,0.88449,5.099999999999999e-4,TRUE,,,,,,,,,,,,,4.06,0.15,0.35,0.07,139905448.433,1.409,-88074.227,1.313
^{141}_{58}Ce83,58,83,Ce,,,,,FALSE,2808345.6,1123.2,,B-,1,,,,,,,,1.09,0.04,,,140908285.991,1.411,-85431.058,1.315
^{142}_{58}Ce84,58,84,Ce,4.9063,0.002,0.11114,5.099999999999999e-4,FALSE,15778462987296e11,,,,,,,,,,,,,,,,141909250.208,2.623,-84532.896,2.443
^{143}_{58}Ce85,58,85,Ce,,,,,FALSE,118940.4,21.6,,B-,1,,,,,,,,0.43,0.01,,,142912391.953,2.621,-81606.378,2.442
^{144}_{58}Ce86,58,86,Ce,4.9303,0.0024,,,FALSE,24616224,4320,,B-,1,,,,,,,,,,,,143913652.763,3.041,-80431.942,2.833
^{145}_{58}Ce87,58,87,Ce,,,,,FALSE,180.6,3.6,,B-,1,,,,,,,,,,,,144917265.113,36.393,-77067.059,33.9
^{146}_{58}Ce88,58,88,Ce,4.959,0.0028,,,FALSE,809.4,9.6,,B-,1,,,,,,,,0.9,0.2,,,145918812.294,15.743,-75625.868,14.665
^{147}_{58}Ce89,58,89,Ce,,,,,FALSE,56.4,1,,B-,1,,,,,,,,,,,,146922689.9,9.211,-72013.902,8.58
^{148}_{58}Ce90,58,90,Ce,4.9893,0.0035,,,FALSE,56.8,0.3,,B-,1,,,,,,,,0.74,0.12,,,147924424.186,12.017,-70398.424,11.195
^{149}_{58}Ce91,58,91,Ce,,,,,FALSE,5.12,0.25,,B-,1,,,,,,,,,,,,148928426.9,11,-66669.921,10.246
^{150}_{58}Ce92,58,92,Ce,,,,,FALSE,4,0.6,,B-,1,,,,,,,,3.2,1.6,,,149930384.032,12.556,-64846.863,11.697
^{151}_{58}Ce93,58,93,Ce,,,,,FALSE,1.76,0.06,,B-,1,,,,,,,,,,,,150934272.2,19,-61225.058,17.698
^{152}_{58}Ce94,58,94,Ce,,,,,FALSE,1.4,0.2,,B-,1,,,,,,,,,,,,151936682,215,-58980,200
^{153}_{58}Ce95,58,95,Ce,,,,,FALSE,0.865,0.025,,B-,1,,B-N,,,,,,,,,,152941052,215,-54910,200
^{154}_{58}Ce96,58,96,Ce,,,,,FALSE,0.722,0.014,,B-,1,,B-N,,,,,,,,,,153943940,215,-52220,200
^{155}_{58}Ce97,58,97,Ce,,,,,FALSE,0.313,0.007,,B-,1,,B-N,,,,,,,,,,154948706,322,-47780,300
^{156}_{58}Ce98,58,98,Ce,,,,,FALSE,0.233,0.009,,B-,1,,B-N,,,,,,,,,,155951884,322,-44820,300
^{157}_{58}Ce99,58,99,Ce,,,,,FALSE,0.18,0.04,,B-,1,,B-N,,,,,,,,,,156957133,429,-39930,400
^{158}_{58}Ce100,58,100,Ce,,,,,FALSE,0.099,0.093,,B-,1,,B-N,,,,,,,,,,157960773,429,-36540,400
^{121}_{59}Pr62,59,62,Pr,,,,,FALSE,0.01,0.0045,,P,1,,,,,,,,,,,,120955393,537,-41551,500
^{124}_{59}Pr65,59,65,Pr,,,,,FALSE,1.2,0.2,,EC+B+,1,,ECP,0,,,,,,,,,123942940,430,-53151,401
^{125}_{59}Pr66,59,66,Pr,,,,,FALSE,3.3,0.7,,EC+B+,1,,B+P,,,,,,,,,,124937659,322,-58070,300
^{126}_{59}Pr67,59,67,Pr,,,,,FALSE,3.14,0.22,,EC+B+,1,,ECP,,,,,,,,,,125935240,210,-60324,196
^{127}_{59}Pr68,59,68,Pr,,,,,FALSE,4.2,0.3,,EC+B+,1,,,,,,,,,,,,126930710,210,-64543,196
^{128}_{59}Pr69,59,69,Pr,,,,,FALSE,2.84,0.09,,EC+B+,1,,,,,,,,,,,,127928791,32,-66330.764,29.808
^{129}_{59}Pr70,59,70,Pr,,,,,FALSE,30,4,,EC+B+,1,,,,,,,,,,,,128925095,32,-69773.566,29.808
^{130}_{59}Pr71,59,71,Pr,,,,,FALSE,40,0.4,,EC+B+,1,,,,,,,,,,,,129923590,69,-71175.464,64.273
^{131}_{59}Pr72,59,72,Pr,,,,,FALSE,90.6,1.2,,EC+B+,1,,,,,,,,,,,,130920234.96,50.451,-74300.664,46.995
^{132}_{59}Pr73,59,73,Pr,,,,,FALSE,96,18,,EC+B+,1,,,,,,,,,,,,131919240,31,-75227.464,28.876
^{133}_{59}Pr74,59,74,Pr,,,,,FALSE,390,18,,EC+B+,1,,,,,,,,,,,,132916330.558,13.416,-77937.591,12.497
^{134}_{59}Pr75,59,75,Pr,,,,,FALSE,1020,120,,EC+B+,1,,,,,,,,,,,,133915696.729,21.81,-78528,20.316
^{135}_{59}Pr76,59,76,Pr,,,,,FALSE,1440,60,,EC+B+,1,,,,,,,,,,,,134913111.772,12.686,-80935.872,11.817
^{136}_{59}Pr77,59,77,Pr,,,,,FALSE,786,6,,EC+B+,1,,,,,,,,3.42,0.11,,,135912677.47,12.296,-81340.421,11.455
^{137}_{59}Pr78,59,78,Pr,,,,,FALSE,4608,108,,EC+B+,1,,,,,,,,,,,,136910679.183,8.733,-83201.814,8.135
^{138}_{59}Pr79,59,79,Pr,,,,,FALSE,87,3,,EC+B+,1,,,,,,,,,,,,137910757.495,10.748,-83128.867,10.012
^{139}_{59}Pr80,59,80,Pr,,,,,FALSE,15876,144,,EC+B+,1,,,,,,,,,,,,138908932.7,3.917,-84828.652,3.649
^{140}_{59}Pr81,59,81,Pr,,,,,FALSE,203.4,0.6,,EC+B+,1,,,,,,,,,,,,139909085.6,6.593,-84686.227,6.142
^{141}_{59}Pr82,59,82,Pr,4.8919,0.005,1,,TRUE,,,,,,,,,,,,,4.266,0.003,-0.077,0.006,140907659.604,1.607,-86014.533,1.498
^{142}_{59}Pr83,59,83,Pr,,,,,FALSE,68832,144,,B-,0.999836,8e-6,EC,1.64e-4,8e-6,,,,0.234,0.001,0.039,0.017,141910051.64,1.607,-83786.367,1.498
^{143}_{59}Pr84,59,84,Pr,,,,,FALSE,1172448,1728,,B-,1,,,,,,,,2.695,0.005,0.77,0.16,142910822.624,1.949,-83068.2,1.816
^{144}_{59}Pr85,59,85,Pr,,,,,FALSE,1036.8,3,,B-,1,,,,,,,,-1.2,0.4,,,143913310.682,2.907,-80750.588,2.708
^{145}_{59}Pr86,59,86,Pr,,,,,FALSE,21542.4,36,,B-,1,,,,,,,,,,,,144914517.987,7.674,-79625.99,7.149
^{146}_{59}Pr87,59,87,Pr,,,,,FALSE,1445.4,6,,B-,1,,,,,,,,,,,,145917687.63,36.882,-76673.486,34.356
^{147}_{59}Pr88,59,88,Pr,,,,,FALSE,806.4,6,,B-,1,,,,,,,,,,,,146919007.438,17.02,-75444.093,15.855
^{148}_{59}Pr89,59,89,Pr,,,,,FALSE,137.4,1.2,,B-,1,,,,,,,,,,,,147922129.992,16.147,-72535.452,15.041
^{149}_{59}Pr90,59,90,Pr,,,,,FALSE,135.6,4.8,,B-,1,,,,,,,,,,,,148923736.1,10.6,-71039.373,9.874
^{150}_{59}Pr91,59,91,Pr,,,,,FALSE,6.19,0.16,,B-,1,,,,,,,,,,,,149926676.391,9.677,-68300.509,9.015
^{151}_{59}Pr92,59,92,Pr,,,,,FALSE,18.9,0.07,,B-,1,,,,,,,,,,,,150928309.066,12.506,-66779.681,11.65
^{152}_{59}Pr93,59,93,Pr,,,,,FALSE,3.57,0.18,,B-,1,,,,,,,,,,,,151931552.9,19.9,-63758.07,18.537
^{153}_{59}Pr94,59,94,Pr,,,,,FALSE,4.29,0.11,,B-,1,,B-N,,,,,,,,,,152933903.511,12.755,-61568.49,11.882
^{154}_{59}Pr95,59,95,Pr,,,,,FALSE,2.3,0.1,,B-,1,,,,,,,,,,,,153937885.165,107.36,-57859.602,100.005
^{155}_{59}Pr96,59,96,Pr,,,,,FALSE,1.47,0.03,,B-,1,,B-N,,,,,,,,,,154940509.193,18.462,-55415.335,17.198
^{156}_{59}Pr97,59,97,Pr,,,,,FALSE,0.444,0.006,,B-,1,,B-N,,,,,,,,,,155944766.9,1.1,-51449.307,1.025
^{157}_{59}Pr98,59,98,Pr,,,,,FALSE,0.295,0.02,,B-,1,,B-N,,,,,,,,,,156948003.1,3.4,-48434.806,3.167
^{158}_{59}Pr99,59,99,Pr,,,,,FALSE,0.181,0.014,,B-,1,,B-N,,,,,,,,,,157952603,322,-44150,300
^{159}_{59}Pr100,59,100,Pr,,,,,FALSE,0.13,0.04,,B-,1,,B-N,,,,,,,,,,158956232,429,-40770,400
^{160}_{59}Pr101,59,101,Pr,,,,,FALSE,0.17,0.14,,B-,1,,B-N,,,,,,,,,,159961138,429,-36200,400
^{161}_{59}Pr102,59,102,Pr,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,160965121,537,-32490,500
^{125}_{60}Nd65,60,65,Nd,,,,,FALSE,0.65,0.15,,EC+B+,1,,ECP,0,,,,,,,,,124948395,429,-48070,400
^{126}_{60}Nd66,60,66,Nd,,,,,FALSE,,,,EC+B+,,,ECP,,,,,,,,,,125942694,322,-53380,300
^{127}_{60}Nd67,60,67,Nd,,,,,FALSE,1.8,0.4,,EC+B+,1,,ECP,,,,,,,,,,126939978,322,-55910,300
^{128}_{60}Nd68,60,68,Nd,,,,,FALSE,5,,,EC+B+,1,,ECP,,,,,,,,,,127935018,215,-60530,200
^{129}_{60}Nd69,60,69,Nd,,,,,FALSE,6.7,0.4,,EC+B+,1,,ECP,0,,,,,,,,,128933038,217,-62375,202
^{130}_{60}Nd70,60,70,Nd,,,,,FALSE,13,3,,EC+B+,1,,,,,,,,,,,,129928506,30,-66596.239,27.945
^{131}_{60}Nd71,60,71,Nd,,,,,FALSE,25.4,0.9,,EC+B+,1,,ECP,0,,,,,,,,,130927248.02,29.541,-67768.04,27.517
^{132}_{60}Nd72,60,72,Nd,4.9174,0.0026,,,FALSE,94,8,,EC+B+,1,,,,,,,,,,,,131923321.237,25.985,-71425.815,24.205
^{133}_{60}Nd73,60,73,Nd,,,,,FALSE,70,10,,EC+B+,1,,,,,,,,,,,,132922348,50,-72332.38,46.575
^{134}_{60}Nd74,60,74,Nd,4.9128,0.0026,,,FALSE,510,90,,EC+B+,1,,,,,,,,1.2,0.4,,,133918790.207,12.686,-75646.443,11.817
^{135}_{60}Nd75,60,75,Nd,4.9086,0.0026,,,FALSE,744,36,,EC+B+,1,,,,,,,,-0.78,0.03,1.9,0.5,134918181.318,20.534,-76213.62,19.128
^{136}_{60}Nd76,60,76,Nd,4.9111,0.0026,,,FALSE,3039,19.8,,EC+B+,1,,,,,,,,11,4,,,135914976.061,12.686,-79199.297,11.817
^{137}_{60}Nd77,60,77,Nd,4.908,0.0026,,,FALSE,2310,90,,EC+B+,1,,,,,,,,-0.632,0.005,,,136914563.099,12.586,-79583.969,11.725
^{138}_{60}Nd78,60,78,Nd,4.9123,0.0026,,,FALSE,18144,324,,EC+B+,1,,,,,,,,-1.74,0.04,,,137911950.938,12.456,-82017.182,11.603
^{139}_{60}Nd79,60,79,Nd,4.9076,0.0025,,,FALSE,1782,30,,EC+B+,1,,,,,,,,0.905,0.007,0.28,0.09,138911951.208,29.545,-82016.93,27.521
^{140}_{60}Nd80,60,80,Nd,4.9101,0.0026,,,FALSE,291168,1728,,EC,1,,,,,,,,,,,,139909546.13,3.5,-84257.246,3.26
^{141}_{60}Nd81,60,81,Nd,4.9057,0.0026,,,FALSE,8964,108,,EC+B+,1,,,,,,,,1.01,0.009,0.32,0.13,140909616.69,3.417,-84191.52,3.183
^{142}_{60}Nd82,60,82,Nd,4.9123,0.0025,0.27153,4e-4,TRUE,,,,,,,,,,,,,,,,,141907728.824,1.348,-85950.055,1.256
^{143}_{60}Nd83,60,83,Nd,4.9254,0.0026,0.12173,2.6e-4,TRUE,,,,,,,,,,,,,-1.065,0.005,-0.61,0.02,142909819.815,1.347,-84002.31,1.255
^{144}_{60}Nd84,60,84,Nd,4.9421,0.0027,0.23797999999999997,1.8999999999999998e-4,FALSE,722653604818157e8,504910815593472e7,,A,1,,,,,,,,0.52,0.15,-0.15,0.06,143910092.798,1.346,-83748.028,1.255
^{145}_{60}Nd85,60,85,Nd,4.9535,0.0028,0.08292999999999999,1.2e-4,TRUE,,,,,,,,,,,,,-0.656,0.004,-0.314,0.012,144912579.151,1.364,-81432.004,1.271
^{146}_{60}Nd86,60,86,Nd,4.9696,0.003,0.17189,3.2e-4,TRUE,,,,,,,,,,,,,0.58,0.06,-0.78,0.09,145913122.459,1.366,-80925.916,1.273
^{147}_{60}Nd87,60,87,Nd,,,,,FALSE,952992,2592,,B-,1,,,,,,,,0.554,0.01,0.9,0.3,146916105.969,1.368,-78146.794,1.275
^{148}_{60}Nd88,60,88,Nd,4.9999,0.0036,0.05756,2.1e-4,TRUE,,,,2B-,,,,,,,,,1.6,0.3,-1.46,0.13,147916899.027,2.203,-77408.066,2.053
^{149}_{60}Nd89,60,89,Nd,,,,,FALSE,6213.6,18,,B-,1,,,,,,,,0.351,0.01,1.3,0.3,148920154.583,2.205,-74375.535,2.054
^{150}_{60}Nd90,60,90,Nd,5.04,0.0044,0.05638,2.8000000000000003e-4,FALSE,287168026368787e12,220898481822144e11,,2B-,1,,,,,,,,0.84,0.09,-2,0.5,149920901.322,1.211,-73679.951,1.129
^{151}_{60}Nd91,60,91,Nd,,,,,FALSE,746.4,4.2,,B-,1,,,,,,,,,,,,150923839.363,1.215,-70943.183,1.133
^{152}_{60}Nd92,60,92,Nd,,,,,FALSE,684,12,,B-,1,,,,,,,,,,,,151924691.242,26.276,-70149.663,24.476
^{153}_{60}Nd93,60,93,Nd,,,,,FALSE,31.6,1,,B-,1,,,,,,,,,,,,152927717.868,2.949,-67330.38,2.747
^{154}_{60}Nd94,60,94,Nd,,,,,FALSE,25.9,0.2,,B-,1,,,,,,,,,,,,153929597.404,1.1,-65579.602,1.025
^{155}_{60}Nd95,60,95,Nd,,,,,FALSE,8.9,0.2,,B-,1,,,,,,,,,,,,154933135.598,9.826,-62283.796,9.154
^{156}_{60}Nd96,60,96,Nd,,,,,FALSE,5.26,0.2,,B-,1,,,,,,,,,,,,155935370.358,1.4,-60202.13,1.304
^{157}_{60}Nd97,60,97,Nd,,,,,FALSE,1.15,0.03,,B-,1,,,,,,,,,,,,156939351.074,2.294,-56494.117,2.137
^{158}_{60}Nd98,60,98,Nd,,,,,FALSE,0.82,0.0255,,B-,1,,B-N,,,,,,,,,,157942205.62,1.4,-53835.123,1.304
^{159}_{60}Nd99,60,99,Nd,,,,,FALSE,0.485,0.0295,,B-,1,,B-N,,,,,,,,,,158946619.085,32,-49724.007,29.808
^{160}_{60}Nd100,60,100,Nd,,,,,FALSE,0.439,0.037,,B-,1,,B-N,,,,,,,,,,159949839.172,50,-46724.515,46.575
^{161}_{60}Nd101,60,101,Nd,,,,,FALSE,0.22,0.08,,B-,1,,B-N,,,,,,,,,,160954664,429,-42230,400
^{162}_{60}Nd102,60,102,Nd,,,,,FALSE,0.31,0.2,,B-,1,,B-N,,,,,,,,,,161958121,429,-39010,400
^{163}_{60}Nd103,60,103,Nd,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,162963414,537,-34080,500
^{128}_{61}Pm67,61,67,Pm,,,,,FALSE,1,0.3,,EC,1,,ECP,,,A,,,,,,,127948234,322,-48220,300
^{129}_{61}Pm68,61,68,Pm,,,,,FALSE,2.4,0.9,,EC+B+,1,,P,,,ECP,,,,,,,128942909,322,-53180,300
^{130}_{61}Pm69,61,69,Pm,,,,,FALSE,2.6,0.2,,EC+B+,1,,ECP,,,,,,,,,,129940451,215,-55470,200
^{131}_{61}Pm70,61,70,Pm,,,,,FALSE,6.3,0.8,,EC+B+,1,,,,,,,,,,,,130935834,215,-59770,200
^{132}_{61}Pm71,61,71,Pm,,,,,FALSE,6.2,0.6,,EC+B+,1,,ECP,5e-7,,,,,,,,,131933840,160,-61628,149
^{133}_{61}Pm72,61,72,Pm,,,,,FALSE,13.5,2.1,,EC+B+,1,,,,,,,,,,,,132929782,54,-65407.653,50.301
^{134}_{61}Pm73,61,73,Pm,,,,,FALSE,5,,,EC+B+,1,,,,,,,,,,,,133928326,45,-66763.908,41.917
^{135}_{61}Pm74,61,74,Pm,,,,,FALSE,49,3,,EC+B+,1,,,,,,,,,,,,134924785,89,-70062.329,82.903
^{136}_{61}Pm75,61,75,Pm,,,,,FALSE,300,50,,EC+B+,1,,,,,,,,,,,,135923595.949,74.152,-71169.923,69.073
^{137}_{61}Pm76,61,76,Pm,,,,,FALSE,144,6,,EC+B+,1,,,,,,,,,,,,136920479.519,14,-74072.858,13.041
^{138}_{61}Pm77,61,77,Pm,,,,,FALSE,10,2,,EC+B+,1,,,,,,,,3.2,0.9,,,137919576.119,12.456,-74914.37,11.603
^{139}_{61}Pm78,61,78,Pm,,,,,FALSE,249,3,,EC+B+,1,,,,,,,,,,,,138916799.228,14.587,-77501.028,13.588
^{140}_{61}Pm79,61,79,Pm,,,,,FALSE,9.2,0.2,,EC+B+,1,,,,,,,,,,,,139916035.918,26.001,-78212.046,24.22
^{141}_{61}Pm80,61,80,Pm,,,,,FALSE,1254,3,,EC+B+,1,,,,,,,,,,,,140913555.081,15,-80522.932,13.972
^{142}_{61}Pm81,61,81,Pm,,,,,FALSE,40.5,0.5,,EC+B+,1,,,,,,,,,,,,141912890.982,25.33,-81141.536,23.596
^{143}_{61}Pm82,61,82,Pm,,,,,FALSE,22896000,604800,,EC+B+,1,,B+,5.6999999999999994e-8,,,,,3.8,0.5,,,142910938.068,3.16,-82960.664,2.944
^{144}_{61}Pm83,61,83,Pm,,,,,FALSE,31363200,1209600,,EC+B+,1,,,,,,,,1.69,0.14,,,143912596.208,3.126,-81416.116,2.912
^{145}_{61}Pm84,61,84,Pm,,,,,FALSE,558557589.750278,12622770.3898368,,EC,1,,A,2.8000000000000003e-9,,,,,3.8,0.16,0.23,0.08,144912755.748,3.011,-81267.506,2.805
^{146}_{61}Pm85,61,85,Pm,,,,,FALSE,174509800.639494,1577846.2987296,,EC,0.657,0.015,B-,0.34299999999999997,0.015,,,,,,,,145914702.24,4.589,-79454.36,4.275
^{147}_{61}Pm86,61,86,Pm,,,,,FALSE,82786439.6017447,12622.7703898368,,B-,1,,,,,,,,2.58,0.07,0.74,0.2,146915144.944,1.382,-79041.984,1.288
^{148}_{61}Pm87,61,87,Pm,,,,,FALSE,463795.2,604.8,,B-,1,,,,,,,,2.1,0.2,0.2,0.2,147917481.091,6.108,-76865.877,5.69
^{149}_{61}Pm88,61,88,Pm,,,,,FALSE,191088,324,,B-,1,,,,,,,,3.3,0.5,,,148918341.507,2.344,-76064.404,2.184
^{150}_{61}Pm89,61,89,Pm,,,,,FALSE,9712.8,54,,B-,1,,,,,,,,,,,,149920990.014,21.504,-73597.336,20.031
^{151}_{61}Pm90,61,90,Pm,,,,,FALSE,102240,144,,B-,1,,,,,,,,1.8,0.2,2.2,0.9,150921216.613,4.949,-73386.26,4.611
^{152}_{61}Pm91,61,91,Pm,,,,,FALSE,247.2,4.8,,B-,1,,,,,,,,,,,,151923505.185,27.809,-71254.468,25.904
^{153}_{61}Pm92,61,92,Pm,,,,,FALSE,315,1.2,,B-,1,,,,,,,,,,,,152924156.252,9.729,-70648.003,9.063
^{154}_{61}Pm93,61,93,Pm,,,,,FALSE,160.8,4.2,,B-,1,,,,,,,,,,,,153926712.791,26.861,-68266.602,25.021
^{155}_{61}Pm94,61,94,Pm,,,,,FALSE,41.5,0.2,,B-,1,,,,,,,,,,,,154928136.951,5.065,-66940.006,4.719
^{156}_{61}Pm95,61,95,Pm,,,,,FALSE,26.7,0.1,,B-,1,,,,,,,,,,,,155931114.059,1.275,-64166.847,1.188
^{157}_{61}Pm96,61,96,Pm,,,,,FALSE,10.56,0.12,,B-,1,,,,,,,,,,,,156933121.298,7.521,-62297.116,7.006
^{158}_{61}Pm97,61,97,Pm,,,,,FALSE,4.8,0.5,,B-,1,,,,,,,,,,,,157936546.948,0.953,-59106.143,0.888
^{159}_{61}Pm98,61,98,Pm,,,,,FALSE,1.5,0.2,,B-,1,,,,,,,,,,,,158939286.409,10.777,-56554.351,10.039
^{160}_{61}Pm99,61,99,Pm,,,,,FALSE,0.725,0.057,,B-,1,,B-N,,,,,,,,,,159943215.272,2.2,-52894.639,2.049
^{161}_{61}Pm100,61,100,Pm,,,,,FALSE,1.05,0.15,,B-,1,,B-N,,,,,,,,,,160946229.837,9.7,-50086.589,9.035
^{162}_{61}Pm101,61,101,Pm,,,,,FALSE,0.63,0.18,,B-,1,,B-N,,,,,,,,,,161950574,322,-46040,300
^{163}_{61}Pm102,61,102,Pm,,,,,FALSE,0.43,0.35,,B-,1,,B-N,,,,,,,,,,162953881,429,-42960,400
^{164}_{61}Pm103,61,103,Pm,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,163958819,429,-38360,400
^{165}_{61}Pm104,61,104,Pm,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,164962780,537,-34670,500
^{129}_{62}Sm67,62,67,Sm,,,,,FALSE,0.55,0.1,,EC+B+,1,,ECP,0,,,,,,,,,128954557,537,-42330,500
^{130}_{62}Sm68,62,68,Sm,,,,,FALSE,,,,EC+B+,,,,,,,,,,,,,129948792,429,-47700,400
^{131}_{62}Sm69,62,69,Sm,,,,,FALSE,1.2,0.2,,EC+B+,1,,ECP,0,,,,,,,,,130946022,429,-50280,400
^{132}_{62}Sm70,62,70,Sm,,,,,FALSE,4,0.3,,EC+B+,1,,ECP,,,,,,,,,,131940805,322,-55140,300
^{133}_{62}Sm71,62,71,Sm,,,,,FALSE,2.89,0.16,,EC+B+,1,,ECP,0,,,,,,,,,132938560,320,-57231,298
^{134}_{62}Sm72,62,72,Sm,,,,,FALSE,9.5,0.8,,EC+B+,1,,,,,,,,,,,,133934110,210,-61376,196
^{135}_{62}Sm73,62,73,Sm,,,,,FALSE,10.3,0.5,,EC+B+,1,,ECP,2e-4,1e-4,,,,,,,,134932520,166,-62857.222,154.628
^{136}_{62}Sm74,62,74,Sm,,,,,FALSE,47,2,,EC+B+,1,,,,,,,,,,,,135928275.553,13.416,-66810.899,12.497
^{137}_{62}Sm75,62,75,Sm,,,,,FALSE,45,1,,EC+B+,1,,,,,,,,,,,,136927007.959,30.718,-67991.655,28.614
^{138}_{62}Sm76,62,76,Sm,4.9599,0.0034,,,FALSE,186,12,,EC+B+,1,,,,,,,,,,,,137923243.988,12.686,-71497.772,11.817
^{139}_{62}Sm77,62,77,Sm,4.9556,0.0034,,,FALSE,154.2,6,,EC+B+,1,,,,,,,,-0.53,0.02,,,138922296.631,11.684,-72380.229,10.884
^{140}_{62}Sm78,62,78,Sm,4.9565,0.0034,,,FALSE,889.2,7.2,,EC+B+,1,,,,,,,,12.7,0.9,,,139918994.714,13.416,-75455.945,12.497
^{141}_{62}Sm79,62,79,Sm,4.9517,0.0034,,,FALSE,612,12,,EC+B+,1,,,,,,,,-0.74,0.02,,,140918481.545,9.162,-75933.959,8.535
^{142}_{62}Sm80,62,80,Sm,4.9518,0.0034,,,FALSE,4349.4,3,,EC+B+,1,,,,,,,,,,,,141915209.415,2.002,-78981.93,1.866
^{143}_{62}Sm81,62,81,Sm,4.9479,0.0034,,,FALSE,525,3.6,,EC+B+,1,,,,,,,,1.01,0.02,0.4,0.2,142914634.848,2.951,-79517.135,2.75
^{144}_{62}Sm82,62,82,Sm,4.9524,0.0034,0.0308,4e-4,TRUE,,,,,,,,,,,,,1.6,0.3,,,143912006.285,1.566,-81965.626,1.459
^{145}_{62}Sm83,62,83,Sm,4.9651,0.0034,,,FALSE,29376000,259200,,EC,1,,,,,,,,-1.12,0.011,-0.6,0.07,144913417.157,1.594,-80651.407,1.485
^{146}_{62}Sm84,62,84,Sm,4.9808,0.0035,,,FALSE,2145870966272260,220898481822144,,A,1,,,,,,,,,,,,145913046.835,3.269,-80996.36,3.045
^{147}_{62}Sm85,62,85,Sm,4.9892,0.0035,0.15,0.0014000000000000002,FALSE,338605815707372e4,31556925974592e3,,A,1,,,,,,,,-0.809,0.0014,-0.26,0.03,146914904.401,1.354,-79266.048,1.262
^{148}_{62}Sm86,62,86,Sm,5.0042,0.0034,0.1125,9e-4,FALSE,220898481822144e9,94670777923776e9,,A,1,,,,,,,,0.54,0.07,-1,0.3,147914829.233,1.337,-79336.067,1.246
^{149}_{62}Sm87,62,87,Sm,5.0134,0.0035,0.1382,0.001,TRUE,,,,,,,,,,,,,-0.6677,0.0011,0.075,0.008,148917191.211,1.241,-77135.898,1.157
^{150}_{62}Sm88,62,88,Sm,5.0387,0.0048,0.0737,9e-4,TRUE,,,,,,,,,,,,,0.82,0.14,-1.3,0.2,149917281.993,1.193,-77051.336,1.112
^{151}_{62}Sm89,62,89,Sm,5.055,0.0057,,,FALSE,2840123337.71328,252455407.796736,,B-,1,,,,,,,,-0.3605,6e-4,0.71,0.07,150919938.859,1.191,-74576.48,1.11
^{152}_{62}Sm90,62,90,Sm,5.0819,0.006,0.26739999999999997,9e-4,TRUE,,,,,,,,,,,,,2.8,0.6,-1.666,0.016,151919738.646,1.09,-74762.977,1.016
^{153}_{62}Sm91,62,91,Sm,5.0925,0.0068,,,FALSE,166622.4,14.4,,B-,1,,,,,,,,-0.021,0.003,1.3,0.12,152922103.576,1.1,-72560.059,1.025
^{154}_{62}Sm92,62,92,Sm,5.1053,0.0067,0.2274,0.0014000000000000002,TRUE,,,,,,,,,,,,,1.35,0.15,,,153922215.756,1.4,-72455.564,1.305
